person,hand,measurement,out_p,p_r,r_m,m_i,i_inn
0p,left,left,3,18.5,9,-7,-4.5
0p,left,right,2.5,16.5,9.5,-7.5,-4
0p,right,left,3,21,5,-8,-3
0p,right,right,3,21,4,-7.5,-3
1p,left,left,2.5,24.5,6.5,-10,-3
1p,left,right,2,21.5,6,-9,-3.5
1p,right,left,1,24,8,-20,-4
1p,right,right,2,24,8,-20,-4
2p,left,left,1,23,3,-10,-1
2p,left,right,0.5,23.5,2,-9,-1.5
2p,right,left,2,15,4,-8.5,-2
2p,right,right,3,14.5,4,-8.5,-3
3p,left,left,1,26.5,7,-9.5,-5
3p,left,right,1.5,27,7,-10,-4
3p,right,left,2,25,6.5,-12.5,-4
3p,right,right,2,24.5,6.5,-13,-3
4p,left,left,4,19,5.5,-5,0
4p,left,right,3.5,20.5,5,-4,0
4p,right,left,3,17,3,-9,-3
4p,right,right,3,18,4,-10,-3
ul,left,left,8,14,4.5,-6.5,-4
ul,left,right,8,14.5,4,-7,-3.5
ul,right,left,2.5,22,6,-5,-2
ul,right,right,3,21,7,-6,-2
je,left,left,1.5,21,6,-6,-5
je,left,right,2,21,6,-6,-4.5
je,right,left,5.5,22,9.5,-14,4
je,right,right,5,23,10,-14,4
lo,left,left,2,22,7,-4,-3
lo,left,right,3,20.5,7,-4,-3
lo,right,left,3,15,7,-7,-1
lo,right,right,3,16,7,-7,-2
th,left,left,0,4.5,4,-7,-1
th,left,right,0,4,4,-7,-0.5
th,right,left,-3.5,13.5,6,-5,-1
th,right,right,-4,14,5.5,-4.5,0
