position,sample,hand,measurement,out_p,p_r,r_m,m_i,i_inn
assis-proche,1,left,left,3,28,5,-6,-2
assis-proche,1,left,right,3.5,27.5,5,-5.5,-2
assis-proche,1,right,left,5,16,3.5,-5.5,1
assis-proche,1,right,right,6,16.5,3,-5,1
assis-proche,2,left,left,6,17,6,-7.5,-1.5
assis-proche,2,left,right,6,16.5,6,-7.5,-1
assis-proche,2,right,left,3,26.5,4,-5,-3
assis-proche,2,right,right,3,25.5,3.5,-4.5,-3
assis-proche,3,left,left,3,23,8,-8,-1
assis-proche,3,left,right,3,23,8,-8,-1
assis-proche,3,right,left,3,23,5,-6,0
assis-proche,3,right,right,3,23,5,-6,0
assis-proche,4,left,left,0,24,7,-7,0
assis-proche,4,left,right,0,24,7.5,-7.5,0
assis-proche,4,right,left,8,18,2.5,-1.5,-1
assis-proche,4,right,right,8,18,3,-1.5,-1.5
assis-loin,1,left,left,2,20.5,5,-7,-2.5
assis-loin,1,left,right,2,21.5,5,-7.5,-3
assis-loin,1,right,left,3.5,19,2,-5,-1
assis-loin,1,right,right,3,20.5,1.5,-6,-2
assis-loin,2,left,left,5,16,8,-11,0
assis-loin,2,left,right,5,17,8,-11,0
assis-loin,2,right,left,4,22,5,-8,-1
assis-loin,2,right,right,4,23,5,-9,1
assis-loin,3,left,left,4,18,8,-10,-3
assis-loin,3,left,right,4,17,8,-9,-2
assis-loin,3,right,left,2,22.5,7,-9,0
assis-loin,3,right,right,2,23,5,-7,0
assis-loin,4,left,left,4,16,8,-6,-6
assis-loin,4,left,right,4,17,8,-6,-6
assis-loin,4,right,left,7,19,4,-9,-1
assis-loin,4,right,right,7,21,3,-10,0
assis-focus,1,left,left,3,21,10,-8,-5
assis-focus,1,left,right,3.5,21,8.5,-7.5,-1
assis-focus,1,right,left,3,22,3,-6,-1
assis-focus,1,right,right,3,22,2.5,-5.5,-1
assis-focus,2,left,left,8,17.5,7.5,-5,-4
assis-focus,2,left,right,8,17,7,-5,-3
assis-focus,2,right,left,2,26,6.5,-8.5,-2
assis-focus,2,right,right,2,26.5,6,-7.5,-3
assis-focus,3,left,left,2,18,10,-8,0
assis-focus,3,left,right,2,18,10,-8,0
assis-focus,3,right,left,2,23,5,-8,0
assis-focus,3,right,right,3,23,5,-8,0
assis-focus,4,left,left,4,17.5,5,-8,-2.5
assis-focus,4,left,right,4,17,5,-8,-2
assis-focus,4,right,left,4,23.5,6,-6,-2.5
assis-focus,4,right,right,4,23,6,-6,-2
debout,1,left,left,2,17.5,8,-13,1
debout,1,left,right,3,17.5,8,-12.5,1
debout,1,right,left,0,20.5,5,-7,-2.5
debout,1,right,right,0,21.5,5,-7,-2.5
debout,2,left,left,5,19,8,-7,-1
debout,2,left,right,5,19,8,-6,-2
debout,2,right,left,3,22,5,-7,-2
debout,2,right,right,3,22.5,6,-8.5,-1.5
debout,3,left,left,3,24,4,-8,-2
debout,3,left,right,3,23,5.5,-9.5,-2
debout,3,right,left,3,15.5,4,-6,-5
debout,3,right,right,2,16,4,-6,-4.5
debout,4,left,left,3,21.5,6,-8,0
debout,4,left,right,3.5,21,6,-7,0
debout,4,right,left,4,18,7,-5,-2
debout,4,right,right,4,19.5,6,-5,-1
