position,sample,hand,measurement,interval,value
assis-proche,1,left,left,out_p,3
assis-proche,1,left,right,out_p,3.5
assis-proche,1,right,left,out_p,5
assis-proche,1,right,right,out_p,6
assis-proche,2,left,left,out_p,6
assis-proche,2,left,right,out_p,6
assis-proche,2,right,left,out_p,3
assis-proche,2,right,right,out_p,3
assis-proche,3,left,left,out_p,3
assis-proche,3,left,right,out_p,3
assis-proche,3,right,left,out_p,3
assis-proche,3,right,right,out_p,3
assis-proche,4,left,left,out_p,0
assis-proche,4,left,right,out_p,0
assis-proche,4,right,left,out_p,8
assis-proche,4,right,right,out_p,8
assis-loin,1,left,left,out_p,2
assis-loin,1,left,right,out_p,2
assis-loin,1,right,left,out_p,3.5
assis-loin,1,right,right,out_p,3
assis-loin,2,left,left,out_p,5
assis-loin,2,left,right,out_p,5
assis-loin,2,right,left,out_p,4
assis-loin,2,right,right,out_p,4
assis-loin,3,left,left,out_p,4
assis-loin,3,left,right,out_p,4
assis-loin,3,right,left,out_p,2
assis-loin,3,right,right,out_p,2
assis-loin,4,left,left,out_p,4
assis-loin,4,left,right,out_p,4
assis-loin,4,right,left,out_p,7
assis-loin,4,right,right,out_p,7
assis-focus,1,left,left,out_p,3
assis-focus,1,left,right,out_p,3.5
assis-focus,1,right,left,out_p,3
assis-focus,1,right,right,out_p,3
assis-focus,2,left,left,out_p,8
assis-focus,2,left,right,out_p,8
assis-focus,2,right,left,out_p,2
assis-focus,2,right,right,out_p,2
assis-focus,3,left,left,out_p,2
assis-focus,3,left,right,out_p,2
assis-focus,3,right,left,out_p,2
assis-focus,3,right,right,out_p,3
assis-focus,4,left,left,out_p,4
assis-focus,4,left,right,out_p,4
assis-focus,4,right,left,out_p,4
assis-focus,4,right,right,out_p,4
debout,1,left,left,out_p,2
debout,1,left,right,out_p,3
debout,1,right,left,out_p,0
debout,1,right,right,out_p,0
debout,2,left,left,out_p,5
debout,2,left,right,out_p,5
debout,2,right,left,out_p,3
debout,2,right,right,out_p,3
debout,3,left,left,out_p,3
debout,3,left,right,out_p,3
debout,3,right,left,out_p,3
debout,3,right,right,out_p,2
debout,4,left,left,out_p,3
debout,4,left,right,out_p,3.5
debout,4,right,left,out_p,4
debout,4,right,right,out_p,4
assis-proche,1,left,left,p_r,28
assis-proche,1,left,right,p_r,27.5
assis-proche,1,right,left,p_r,16
assis-proche,1,right,right,p_r,16.5
assis-proche,2,left,left,p_r,17
assis-proche,2,left,right,p_r,16.5
assis-proche,2,right,left,p_r,26.5
assis-proche,2,right,right,p_r,25.5
assis-proche,3,left,left,p_r,23
assis-proche,3,left,right,p_r,23
assis-proche,3,right,left,p_r,23
assis-proche,3,right,right,p_r,23
assis-proche,4,left,left,p_r,24
assis-proche,4,left,right,p_r,24
assis-proche,4,right,left,p_r,18
assis-proche,4,right,right,p_r,18
assis-loin,1,left,left,p_r,20.5
assis-loin,1,left,right,p_r,21.5
assis-loin,1,right,left,p_r,19
